original_language,count,mean,median
af,1,6.9,6.9
ar,2,7.3,7.3
cn,12,6.5,6.5
cs,2,5.65,5.65
da,7,7.128571428571428,7.0
de,27,6.325925925925926,6.7
el,1,6.9,6.9
en,4447,6.144794243310097,6.2
es,32,6.659375,6.95
fa,4,7.375,7.550000000000001
fr,69,6.523188405797102,6.7
he,3,7.3999999999999995,7.6
hi,18,6.344444444444445,6.35
hu,1,6.5,6.5
id,2,7.4,7.4
is,1,6.9,6.9
it,14,7.028571428571428,7.15
ja,16,7.05,7.1
ko,11,6.672727272727273,6.7
nb,1,6.7,6.7
nl,4,7.175,7.1
no,1,6.1,6.1
pl,1,7.1,7.1
ps,1,6.3,6.3
pt,8,7.1875,7.35
ro,1,7.3,7.3
ru,11,6.354545454545455,6.4
sl,1,6.0,6.0
sv,5,7.06,6.9
ta,2,5.85,5.85
te,1,7.5,7.5
th,3,5.966666666666666,6.0
tr,1,4.3,4.3
vi,1,5.0,5.0
xx,1,7.1,7.1
zh,27,6.3,6.6
